"","x"
"870",-15.76
"871",-16.72
"872",-18.68
"873",-21.72
"874",-25.63
"875",-29.8
"876",-33.41
"877",-35.77
"878",-36.49
"879",-35.7
"880",-33.95
"881",-31.86
"882",-29.89
"883",-28.03
"884",-25.92
"885",-23.04
"886",-19.05
"887",-13.93
"888",-7.91
"889",-1.2
"890",6.15
"891",14.22
"892",22.96
"893",31.94
"894",40.3
"895",46.9
"896",50.68
"897",51.03
"898",47.83
"899",41.46
"900",32.54
"901",21.89
"902",10.53
"903",-0.35
"904",-9.49
"905",-15.86
"906",-18.98
"907",-19.19
"908",-17.42
"909",-14.89
"910",-12.66
"911",-11.35
"912",-11.11
"913",-11.67
"914",-12.65
"915",-13.61
"916",-14.18
"917",-13.96
"918",-12.6
"919",-9.88
"920",-5.77
"921",-0.49
"922",5.55
"923",11.81
"924",17.78
"925",23.02
"926",27.29
"927",30.41
"928",32.27
"929",32.82
"930",32.13
"931",30.46
"932",28.29
"933",26.13
"934",24.29
"935",22.74
"936",20.98
"937",18.27
"938",14.07
"939",8.31
"940",1.61
"941",-5.1
"942",-11.02
"943",-15.9
"944",-20.18
"945",-24.53
"946",-29.43
"947",-34.69
"948",-39.41
"949",-42.34
"950",-42.47
"951",-39.44
"952",-33.94
"953",-27.41
"954",-21.54
"955",-17.73
"956",-16.48
"957",-17.28
"958",-18.74
"959",-19.06
"960",-16.65
"961",-10.64
"962",-1.11
"963",10.98
"964",24.09
"965",36.56
"966",46.98
"967",54.5
"968",58.78
"969",59.94
"970",58.43
"971",55.07
"972",50.98
"973",47.24
"974",44.43
"975",42.16
"976",38.99
"977",33
"978",22.76
"979",8.23
"980",-8.81
"981",-25.37
"982",-38.49
"983",-46.47
"984",-49.45
"985",-49.02
"986",-47.15
"987",-45.15
"988",-43.29
"989",-41.15
"990",-38.23
"991",-34.57
"992",-30.69
"993",-27.31
"994",-24.82
"995",-22.9
"996",-20.45
"997",-16.05
"998",-8.56
"999",2.24
"1000",15.31
"1001",28.43
"1002",38.84
"1003",44.09
"1004",43.03
"1005",36.35
"1006",26.33
"1007",16.1
"1008",8.37
"1009",4.64
"1010",4.81
"1011",7.69
"1012",11.59
"1013",15.05
"1014",17.05
"1015",17.05
"1016",14.82
"1017",10.3
"1018",3.62
"1019",-4.96
"1020",-14.87
"1021",-25.04
"1022",-33.8
"1023",-39.34
"1024",-40.34
"1025",-36.69
"1026",-29.93
"1027",-22.76
"1028",-17.88
"1029",-16.85
"1030",-19.27
"1031",-23.01
"1032",-25.23
"1033",-23.66
"1034",-17.38
"1035",-6.99
"1036",5.96
"1037",19.58
"1038",32.03
"1039",41.68
"1040",47.42
"1041",49.18
"1042",48.01
"1043",45.81
"1044",44.3
"1045",43.95
"1046",43.51
"1047",40.64
"1048",33.19
"1049",20.64
"1050",4.63
"1051",-11.65
"1052",-24.91
"1053",-33.17
"1054",-36.35
"1055",-35.77
"1056",-33.2
"1057",-29.79
"1058",-25.86
"1059",-21.12
"1060",-15.32
"1061",-8.71
"1062",-2.08
"1063",3.49
"1064",7.07
"1065",8.42
"1066",8.2
"1067",7.83
"1068",8.91
"1069",12.37
"1070",17.86
"1071",23.62
"1072",27.05
"1073",25.79
"1074",18.72
"1075",6.52
"1076",-8.51
"1077",-23.31
"1078",-35.24
"1079",-42.72
"1080",-45.58
"1081",-44.85
"1082",-42.03
"1083",-38.57
"1084",-35.28
"1085",-32.26
"1086",-29.1
"1087",-25.37
"1088",-20.86
